id number,first name,last name,grade,school,district,dist_code,sys_id,pathway,WBL_Event_Count
38972,Nero,Macdonald,11,lost boys academy,neverland public schools,nps,nps38972,manufacturing,0
37870,Patience,Mueller,10,lucius fox high school,gotham city public schools,gcps,gcps37870,healthcare,0
97570,Shelly,Hill,10,lucius fox high school,gotham city public schools,gcps,gcps97570,healthcare,0
20630,Maggie,Navarro,11,lucius fox high school,gotham city public schools,gcps,gcps20630,healthcare,0
80390,Shafira,Perry,10,captain hook high school,neverland public schools,nps,nps80390,manufacturing,0
38119,Hop,Watts,10,captain hook high school,neverland public schools,nps,nps38119,manufacturing,0
45844,Cara,Mercado,9,lost boys academy,neverland public schools,nps,nps45844,manufacturing,0
42699,Carla,Vincent,12,lost boys academy,neverland public schools,nps,nps42699,manufacturing,0
21580,Christian,Rodriquez,9,lost boys academy,neverland public schools,nps,nps21580,manufacturing,0
70473,Bert,Lowe,9,lost boys academy,neverland public schools,nps,nps70473,manufacturing,0
64066,Glenna,Miranda,9,lost boys academy,neverland public schools,nps,nps64066,manufacturing,0
33409,Maryam,Gomez,9,james gordon center for learning,gotham city public schools,gcps,gcps33409,healthcare,0
63026,Glenna,Baker,10,james gordon center for learning,gotham city public schools,gcps,gcps63026,healthcare,0
85435,Brenda,Mueller,12,lucius fox high school,gotham city public schools,gcps,gcps85435,healthcare,0
77592,Myles,Beach,12,lost boys academy,neverland public schools,nps,nps77592,manufacturing,0
45761,Brandon,Fuller,11,lost boys academy,neverland public schools,nps,nps45761,manufacturing,0
79559,Blaze,Saunders,11,james gordon center for learning,gotham city public schools,gcps,gcps79559,healthcare,0
56143,Gay,King,12,captain hook high school,neverland public schools,nps,nps56143,manufacturing,0
33174,Zeph,Herring,12,captain hook high school,neverland public schools,nps,nps33174,manufacturing,0
17339,Brody,Booth,12,captain hook high school,neverland public schools,nps,nps17339,manufacturing,0
14324,Amaya,Stanley,9,captain hook high school,neverland public schools,nps,nps14324,manufacturing,0
34623,James,Hood,9,james gordon center for learning,gotham city public schools,gcps,gcps34623,healthcare,0
35255,Jesse,Pacheco,12,james gordon center for learning,gotham city public schools,gcps,gcps35255,healthcare,0
56520,Pascale,Mitchell,11,lost boys academy,neverland public schools,nps,nps56520,manufacturing,0
43451,Timon,Chapman,11,captain hook high school,neverland public schools,nps,nps43451,manufacturing,0
24755,Petra,Reeves,11,james gordon center for learning,gotham city public schools,gcps,gcps24755,healthcare,0
93135,Burton,Kline,12,james gordon center for learning,gotham city public schools,gcps,gcps93135,healthcare,0
10998,Rinah,Fitzgerald,9,james gordon center for learning,gotham city public schools,gcps,gcps10998,healthcare,0
23957,Erasmus,Cleveland,12,james gordon center for learning,gotham city public schools,gcps,gcps23957,healthcare,0
99940,Callum,Rosa,12,lost boys academy,neverland public schools,nps,nps99940,manufacturing,0
72881,Valentine,Zimmerman,11,captain hook high school,neverland public schools,nps,nps72881,manufacturing,0
88740,Hunter,Houston,11,james gordon center for learning,gotham city public schools,gcps,gcps88740,healthcare,0
75418,David,Harvey,12,lucius fox high school,gotham city public schools,gcps,gcps75418,healthcare,0
76031,Dane,Best,12,lost boys academy,neverland public schools,nps,nps76031,manufacturing,0
